,Pre-Processing Technique,N_Grams,No_of_Features,Classifier Applied,Accuracy,Precision,Recall,F-Score
95,Stemming,"(2, 3)",3000,NaiveBayes,0.7768595041322314,0.7320369915034287,0.7552712106672393,0.7377394441625796
13,None,"(2, 2)",3000,RndFrst,0.7768595041322314,0.8351008382483203,0.65798365287182,0.7036176767182928
63,Stemming,"(2, 2)",3000,RndFrst,0.7768595041322314,0.8314110616268889,0.6559553607977613,0.7010051169753585
62,Stemming,"(2, 2)",2000,RndFrst,0.7768595041322314,0.8301619534697152,0.650695893757088,0.6964755703164762
145,Lemmatizing,"(2, 3)",3000,NaiveBayes,0.7768595041322314,0.7350197094088763,0.7532429185931807,0.7368013946961315
25,None,"(3, 3)",3000,NaiveBayes,0.7741046831955923,0.7303030303030303,0.7097769605704943,0.718984718984719
112,Lemmatizing,"(2, 2)",2000,RndFrst,0.7741046831955923,0.8473118279569892,0.6491009974253497,0.698411264836928
75,Stemming,"(3, 3)",3000,NaiveBayes,0.7713498622589532,0.7235663082437275,0.7081820642387558,0.7152047443286401
92,Stemming,"(2, 3)",2000,RndFrst,0.768595041322314,0.8305115907274181,0.6310605501385748,0.674784878715943
125,Lemmatizing,"(3, 3)",3000,NaiveBayes,0.768595041322314,0.7214397320908018,0.7028057201527341,0.7111694092382893
20,None,"(3, 3)",2000,LogReg,0.768595041322314,0.839777358441116,0.6356674070743606,0.6807402351185022
142,Lemmatizing,"(2, 3)",2000,RndFrst,0.768595041322314,0.7981863105584526,0.6342917251051894,0.6745304951745142
70,Stemming,"(3, 3)",2000,LogReg,0.7658402203856749,0.834312877566799,0.6320442186685634,0.6763829366435568
45,None,"(2, 3)",3000,NaiveBayes,0.7658402203856749,0.7249687988890646,0.7451101775860026,0.7281710740927183
43,None,"(2, 3)",3000,RndFrst,0.7630853994490359,0.8408730158730159,0.6240893097208148,0.6687410966969932
113,Lemmatizing,"(2, 2)",3000,RndFrst,0.7630853994490359,0.8500785634118967,0.6273204846874294,0.6767691687140966
74,Stemming,"(3, 3)",2000,NaiveBayes,0.7630853994490359,0.7208322123576361,0.6828393181091196,0.69393719389225
120,Lemmatizing,"(3, 3)",2000,LogReg,0.7603305785123967,0.8187275985663082,0.6230446861767449,0.6651634327908983
126,Lemmatizing,"(3, 3)",2000,SVM,0.7575757575757576,0.838141724612759,0.6176683420907234,0.66041581291151
124,Lemmatizing,"(3, 3)",2000,NaiveBayes,0.7575757575757576,0.7141109100614935,0.677621233371584,0.6866651554151555
24,None,"(3, 3)",2000,NaiveBayes,0.7575757575757576,0.7159215488357096,0.677621233371584,0.6875824638365557
26,None,"(3, 3)",2000,SVM,0.7575757575757576,0.8351254480286737,0.6196966341647822,0.6616208886312038
76,Stemming,"(3, 3)",2000,SVM,0.7575757575757576,0.838141724612759,0.6176683420907234,0.66041581291151
143,Lemmatizing,"(2, 3)",3000,RndFrst,0.7548209366391184,0.8328697604059924,0.6094382967491404,0.6535969417516557
93,Stemming,"(2, 3)",3000,RndFrst,0.7520661157024794,0.8170999573812412,0.6060902447371775,0.6464012264918646
42,None,"(2, 3)",2000,RndFrst,0.7520661157024794,0.8001587065416853,0.6095965560976264,0.6503128252473612
71,Stemming,"(3, 3)",3000,LogReg,0.7493112947658402,0.8091360671848477,0.6042202120116049,0.64677040739058
27,None,"(3, 3)",3000,SVM,0.7465564738292011,0.83319876970396,0.5953375565651345,0.6370594305051814
127,Lemmatizing,"(3, 3)",3000,SVM,0.7465564738292011,0.83319876970396,0.5953375565651345,0.6370594305051814
77,Stemming,"(3, 3)",3000,SVM,0.7465564738292011,0.83319876970396,0.5953375565651345,0.6370594305051814
21,None,"(3, 3)",3000,LogReg,0.7465564738292011,0.8073489010989011,0.6005970236058078,0.6429142229262097
121,Lemmatizing,"(3, 3)",3000,LogReg,0.743801652892562,0.8055278295330198,0.5969738352000107,0.6390131956397017
19,None,"(2, 2)",3000,DecTree,0.7355371900826446,0.7346648537984278,0.6062143916465906,0.6326937407071329
72,Stemming,"(3, 3)",2000,RndFrst,0.7245179063360881,0.8315436241610739,0.5681052049989822,0.6099734568805111
139,Lemmatizing,"(1, 2)",3000,DecTree,0.7134986225895317,0.6958628841607565,0.565577529185708,0.5421845025618611
88,Stemming,"(1, 2)",2000,DecTree,0.7134986225895317,0.7309399021663173,0.5409628879031699,0.5339237415186783
122,Lemmatizing,"(3, 3)",2000,RndFrst,0.7134986225895317,0.7964254937375311,0.5428183809006132,0.5744162065727973
123,Lemmatizing,"(3, 3)",3000,RndFrst,0.7107438016528925,0.7952282425966636,0.5462078152157136,0.5813057622523147
73,Stemming,"(3, 3)",3000,RndFrst,0.7079889807162535,0.8312306834878654,0.5338188484087945,0.5649021871471199
39,None,"(1, 2)",3000,DecTree,0.7079889807162535,0.6967425256581884,0.549942847684045,0.5376241964752256
22,None,"(3, 3)",2000,RndFrst,0.7052341597796143,0.7815344756521228,0.5337019713634462,0.5647116412460128
119,Lemmatizing,"(2, 2)",3000,DecTree,0.7024793388429752,0.7035478505188402,0.5344105034996008,0.5579586416239802
23,None,"(3, 3)",3000,RndFrst,0.699724517906336,0.821504884004884,0.522674146797569,0.5531198641510429
108,Lemmatizing,"(1, 1)",2000,DecTree,0.699724517906336,0.6906695156695157,0.5330907435616965,0.550534476096197
68,Stemming,"(2, 2)",2000,DecTree,0.699724517906336,0.7633671238322401,0.5155591867594526,0.4972085534349509
148,Lemmatizing,"(2, 3)",2000,DecTree,0.6914600550964187,0.6254108691268402,0.50331393957289,0.5069374681215814
118,Lemmatizing,"(2, 2)",2000,DecTree,0.6914600550964187,0.6973905723905723,0.5079207965086757,0.5081459219451732
138,Lemmatizing,"(1, 2)",2000,DecTree,0.6914600550964187,0.7669492259954582,0.5154836920172419,0.5237273032936239
98,Stemming,"(2, 3)",2000,DecTree,0.6887052341597796,0.6118830510927775,0.5200760092248983,0.5323048923170256
69,Stemming,"(2, 2)",3000,DecTree,0.6887052341597796,0.6439453518854608,0.5055004909954346,0.5128124659805472
28,None,"(3, 3)",2000,DecTree,0.6859504132231405,0.6915653054394015,0.505108477556252,0.5218905432949659
49,None,"(2, 3)",3000,DecTree,0.6804407713498623,0.4999377334993773,0.47682423258196494,0.4499563125779425
9,None,"(1, 1)",3000,DecTree,0.6804407713498623,0.7469135802469135,0.4910222771003756,0.4556063668798533
149,Lemmatizing,"(2, 3)",3000,DecTree,0.6694214876033058,0.5996576161524615,0.4716475301475671,0.4563543493645958
129,Lemmatizing,"(3, 3)",3000,DecTree,0.6666666666666666,0.6606113978318451,0.47744273024777933,0.48279385905960875
99,Stemming,"(2, 3)",3000,DecTree,0.6666666666666666,0.7409251412429377,0.4700526338158286,0.4555444555444555
89,Stemming,"(1, 2)",3000,DecTree,0.6639118457300276,0.5615902730352577,0.4803523535346079,0.4696892572706631
59,Stemming,"(1, 1)",3000,DecTree,0.6611570247933884,0.6201167734921654,0.4836394505324895,0.45245588936576064
48,None,"(2, 3)",2000,DecTree,0.6584022038567493,0.5244477744477746,0.4548513480564857,0.4415869218500797
109,Lemmatizing,"(1, 1)",3000,DecTree,0.6584022038567493,0.567189948734295,0.4762348143724094,0.4420151124966116
18,None,"(2, 2)",2000,DecTree,0.6584022038567493,0.6744289029401122,0.4530981923762613,0.4377789860261225
8,None,"(1, 1)",2000,DecTree,0.6528925619834711,0.6354573498613233,0.48146520195682374,0.46427484235703415
38,None,"(1, 2)",2000,DecTree,0.650137741046832,0.3956682227771144,0.43927258858608975,0.4025256982549488
128,Lemmatizing,"(3, 3)",2000,DecTree,0.650137741046832,0.584488647779787,0.44370664644526014,0.43409189640768586
29,None,"(3, 3)",3000,DecTree,0.6473829201101928,0.5890875102231569,0.43833030235923864,0.4245044712012393
79,Stemming,"(3, 3)",3000,DecTree,0.6473829201101928,0.6554557943283289,0.4348239909987899,0.41294853294853295
78,Stemming,"(3, 3)",2000,DecTree,0.6418732782369146,0.5651875682307819,0.43283708122786885,0.4187372134382484
58,Stemming,"(1, 1)",2000,DecTree,0.6391184573002755,0.39271565495207666,0.42275154288884265,0.38515640458331085
